Counts for pub 0: {'00': 1008, '10': 8, '01': 8}
Counts for pub 1816: {'11': 178, '00': 355, '01': 302, '10': 189}
Counts for pub 1817: {'01': 199, '00': 732, '10': 73, '11': 20}
Counts for pub 1818: {'11': 831, '00': 132, '10': 28, '01': 33}
Counts for pub 1819: {'01': 390, '11': 443, '10': 102, '00': 89}
Counts for pub 1820: {'10': 325, '01': 550, '11': 84, '00': 65}
Counts for pub 1821: {'00': 704, '11': 22, '01': 270, '10': 28}
Counts for pub 1822: {'10': 285, '11': 468, '01': 148, '00': 123}
Counts for pub 1823: {'00': 807, '11': 161, '01': 28, '10': 28}
Counts for pub 1824: {'11': 460, '01': 376, '10': 96, '00': 92}
Counts for pub 1825: {'00': 336, '01': 124, '11': 420, '10': 144}
Counts for pub 1826: {'00': 107, '11': 427, '01': 354, '10': 136}
Counts for pub 1827: {'10': 728, '00': 263, '11': 21, '01': 12}
Counts for pub 1828: {'00': 457, '01': 313, '11': 152, '10': 102}
Counts for pub 1829: {'01': 298, '11': 167, '00': 452, '10': 107}
Counts for pub 1830: {'11': 288, '10': 267, '00': 241, '01': 228}
Counts for pub 1831: {'01': 550, '10': 312, '00': 88, '11': 74}
Counts for pub 1832: {'00': 192, '11': 493, '10': 131, '01': 208}
Counts for pub 1833: {'11': 413, '10': 213, '00': 201, '01': 197}
Counts for pub 1834: {'11': 211, '01': 208, '10': 299, '00': 306}
Counts for pub 1835: {'11': 430, '00': 471, '01': 58, '10': 65}
Counts for pub 1836: {'01': 322, '11': 137, '00': 456, '10': 109}
Counts for pub 1837: {'00': 107, '10': 512, '11': 321, '01': 84}
Counts for pub 1838: {'00': 898, '01': 54, '11': 51, '10': 21}
Counts for pub 1839: {'00': 744, '01': 133, '11': 100, '10': 47}
Counts for pub 1840: {'00': 807, '10': 84, '11': 104, '01': 29}
Counts for pub 1841: {'11': 137, '10': 772, '00': 83, '01': 32}
Counts for pub 1842: {'00': 662, '10': 276, '01': 63, '11': 23}
Counts for pub 1843: {'00': 936, '10': 36, '11': 29, '01': 23}
Counts for pub 1844: {'10': 139, '00': 376, '11': 382, '01': 127}
Counts for pub 1845: {'00': 653, '11': 297, '10': 47, '01': 27}
Counts for pub 1846: {'00': 667, '01': 33, '11': 279, '10': 45}
Counts for pub 1847: {'01': 431, '10': 96, '00': 393, '11': 104}
Counts for pub 1848: {'11': 292, '00': 666, '01': 32, '10': 34}
Counts for pub 1849: {'11': 771, '00': 39, '01': 190, '10': 24}
Counts for pub 1850: {'00': 867, '01': 59, '11': 60, '10': 38}
Counts for pub 1851: {'01': 65, '00': 867, '11': 61, '10': 31}
Counts for pub 1852: {'11': 411, '01': 141, '00': 252, '10': 220}
Counts for pub 1853: {'11': 720, '00': 237, '01': 37, '10': 30}
Counts for pub 1854: {'00': 203, '11': 333, '01': 291, '10': 197}
Counts for pub 1855: {'00': 927, '10': 39, '01': 21, '11': 37}
Counts for pub 1856: {'00': 864, '11': 59, '01': 58, '10': 43}
Counts for pub 1857: {'00': 382, '01': 606, '11': 19, '10': 17}
Counts for pub 1858: {'01': 363, '10': 237, '11': 244, '00': 180}
Counts for pub 1859: {'00': 695, '01': 168, '11': 118, '10': 43}
Counts for pub 1860: {'00': 719, '01': 243, '10': 35, '11': 27}
Counts for pub 1861: {'01': 110, '00': 902, '11': 6, '10': 6}
Counts for pub 1862: {'00': 521, '01': 181, '11': 189, '10': 133}
Counts for pub 1863: {'00': 1018, '01': 1, '10': 5}
Counts for pub 1864: {'00': 471, '10': 175, '01': 177, '11': 201}
Counts for pub 1865: {'01': 627, '11': 372, '00': 15, '10': 10}
Counts for pub 1866: {'00': 813, '01': 34, '11': 94, '10': 83}
Counts for pub 1867: {'01': 628, '11': 359, '00': 19, '10': 18}
Counts for pub 1868: {'00': 901, '10': 87, '01': 33, '11': 3}
Counts for pub 1869: {'00': 667, '11': 282, '01': 32, '10': 43}
Counts for pub 1870: {'00': 415, '01': 223, '10': 156, '11': 230}
Counts for pub 1871: {'10': 268, '00': 630, '11': 82, '01': 44}
Counts for pub 1872: {'10': 392, '00': 174, '11': 291, '01': 167}
Counts for pub 1873: {'10': 156, '11': 810, '01': 36, '00': 22}
Counts for pub 1874: {'00': 910, '01': 27, '10': 55, '11': 32}
Counts for pub 1875: {'01': 190, '11': 238, '00': 437, '10': 159}
Counts for pub 1876: {'01': 194, '11': 346, '10': 249, '00': 235}
Counts for pub 1877: {'00': 627, '11': 295, '10': 46, '01': 56}
Counts for pub 1878: {'00': 826, '01': 26, '11': 98, '10': 74}
Counts for pub 1879: {'00': 271, '11': 527, '10': 79, '01': 147}
Counts for pub 1880: {'00': 630, '10': 252, '01': 61, '11': 81}
Counts for pub 1881: {'00': 849, '11': 80, '10': 71, '01': 24}
Counts for pub 1882: {'01': 38, '00': 664, '11': 284, '10': 38}
Counts for pub 1883: {'10': 435, '01': 110, '00': 341, '11': 138}
Counts for pub 1884: {'11': 595, '10': 388, '00': 14, '01': 27}
Counts for pub 1885: {'00': 830, '11': 93, '10': 68, '01': 33}
Counts for pub 1886: {'00': 896, '01': 116, '11': 6, '10': 6}
Counts for pub 1887: {'00': 111, '11': 616, '01': 81, '10': 216}
Counts for pub 1888: {'00': 457, '01': 280, '11': 147, '10': 140}
Counts for pub 1889: {'11': 804, '10': 159, '01': 36, '00': 25}
Counts for pub 1890: {'00': 274, '01': 548, '10': 126, '11': 76}
Counts for pub 1891: {'00': 929, '01': 30, '10': 32, '11': 33}
Counts for pub 1892: {'11': 647, '00': 256, '01': 63, '10': 58}
Counts for pub 1893: {'01': 494, '00': 495, '10': 14, '11': 21}
Counts for pub 1894: {'11': 284, '10': 264, '00': 236, '01': 240}
Counts for pub 1895: {'01': 538, '11': 154, '10': 233, '00': 99}
Counts for pub 1896: {'01': 109, '00': 894, '11': 9, '10': 12}
Counts for pub 1897: {'00': 502, '10': 277, '11': 139, '01': 106}
Counts for pub 1898: {'11': 311, '00': 518, '10': 87, '01': 108}
Counts for pub 1899: {'01': 417, '00': 362, '10': 119, '11': 126}
Counts for pub 1900: {'10': 791, '11': 67, '01': 140, '00': 26}
Counts for pub 1901: {'00': 659, '11': 302, '01': 29, '10': 34}
Counts for pub 1902: {'11': 908, '01': 27, '10': 55, '00': 34}
Counts for pub 1903: {'11': 440, '00': 275, '01': 131, '10': 178}
Counts for pub 1904: {'10': 125, '01': 411, '00': 394, '11': 94}
Counts for pub 1905: {'00': 647, '11': 88, '01': 38, '10': 251}
Counts for pub 1906: {'00': 444, '10': 155, '01': 290, '11': 135}
Counts for pub 1907: {'01': 146, '00': 70, '10': 654, '11': 154}
Counts for pub 1908: {'11': 650, '00': 263, '10': 66, '01': 45}
Counts for pub 1909: {'11': 658, '10': 64, '00': 255, '01': 47}
Counts for pub 1910: {'11': 369, '00': 363, '01': 147, '10': 145}
Counts for pub 1911: {'00': 452, '01': 410, '11': 77, '10': 85}
Counts for pub 1912: {'01': 603, '11': 382, '10': 17, '00': 22}
Counts for pub 1913: {'11': 960, '10': 22, '00': 6, '01': 36}
Counts for pub 1914: {'11': 694, '01': 159, '10': 49, '00': 122}
Counts for pub 1915: {'10': 100, '11': 524, '01': 302, '00': 98}
Counts for pub 1916: {'10': 250, '00': 696, '11': 29, '01': 49}
Counts for pub 1917: {'10': 532, '00': 415, '01': 32, '11': 45}
Counts for pub 1918: {'00': 768, '01': 96, '11': 82, '10': 78}
Counts for pub 1919: {'00': 937, '10': 38, '11': 30, '01': 19}
Counts for pub 1920: {'01': 281, '11': 310, '00': 228, '10': 205}
Counts for pub 1921: {'01': 85, '11': 487, '10': 339, '00': 113}
Counts for pub 1922: {'00': 216, '10': 481, '11': 127, '01': 200}
Counts for pub 1923: {'11': 172, '00': 358, '10': 256, '01': 238}
Counts for pub 1924: {'00': 943, '01': 32, '11': 41, '10': 8}
Counts for pub 1925: {'10': 287, '00': 559, '01': 125, '11': 53}
Counts for pub 1926: {'01': 125, '00': 506, '10': 315, '11': 78}
Counts for pub 1927: {'00': 760, '11': 131, '10': 28, '01': 105}
Counts for pub 1928: {'00': 546, '01': 113, '10': 304, '11': 61}
Counts for pub 1929: {'01': 176, '10': 177, '11': 329, '00': 342}
Counts for pub 1930: {'10': 257, '11': 281, '00': 250, '01': 236}
Counts for pub 1931: {'01': 269, '10': 225, '11': 290, '00': 240}
Counts for pub 1932: {'01': 384, '10': 146, '11': 331, '00': 163}
Counts for pub 1933: {'00': 519, '11': 175, '10': 99, '01': 231}
Counts for pub 1934: {'00': 181, '10': 175, '11': 533, '01': 135}
Counts for pub 1935: {'01': 206, '00': 411, '10': 257, '11': 150}
Counts for pub 1936: {'01': 237, '11': 263, '00': 291, '10': 233}
Counts for pub 1937: {'01': 666, '00': 62, '11': 165, '10': 131}
Counts for pub 1938: {'00': 84, '11': 502, '10': 353, '01': 85}
Counts for pub 1939: {'01': 204, '11': 239, '00': 165, '10': 416}
Counts for pub 1940: {'01': 47, '11': 422, '00': 495, '10': 60}
Counts for pub 1941: {'11': 310, '00': 452, '10': 145, '01': 117}
Counts for pub 1942: {'11': 371, '01': 320, '00': 160, '10': 173}
Counts for pub 1943: {'11': 234, '00': 434, '01': 196, '10': 160}
Counts for pub 1944: {'00': 1014, '10': 6, '01': 4}
Counts for pub 1945: {'10': 236, '01': 467, '00': 198, '11': 123}
Counts for pub 1946: {'00': 244, '11': 309, '01': 250, '10': 221}
Counts for pub 1947: {'11': 102, '01': 480, '00': 212, '10': 230}
Counts for pub 1948: {'01': 223, '00': 305, '10': 272, '11': 224}
Counts for pub 1949: {'00': 518, '01': 113, '10': 319, '11': 74}
Counts for pub 1950: {'11': 450, '10': 110, '01': 375, '00': 89}
Counts for pub 1951: {'10': 277, '11': 208, '01': 368, '00': 171}
Counts for pub 1952: {'11': 841, '10': 100, '01': 26, '00': 57}
Counts for pub 1953: {'00': 269, '11': 392, '01': 202, '10': 161}
Counts for pub 1954: {'01': 202, '11': 185, '10': 237, '00': 400}
Counts for pub 1955: {'00': 1017, '01': 3, '10': 4}
Counts for pub 1956: {'01': 343, '11': 607, '10': 42, '00': 32}
Counts for pub 1957: {'11': 403, '10': 389, '00': 115, '01': 117}
Counts for pub 1958: {'00': 233, '10': 229, '01': 263, '11': 299}
Counts for pub 1959: {'00': 761, '11': 134, '10': 33, '01': 96}
Counts for pub 1960: {'10': 229, '00': 191, '11': 188, '01': 416}
Counts for pub 1961: {'00': 229, '10': 203, '11': 316, '01': 276}
Counts for pub 1962: {'00': 536, '10': 303, '01': 118, '11': 67}
Counts for pub 1963: {'10': 104, '00': 529, '11': 326, '01': 65}
Counts for pub 1964: {'11': 158, '10': 439, '00': 253, '01': 174}
Counts for pub 1965: {'01': 283, '00': 209, '10': 213, '11': 319}
Counts for pub 1966: {'01': 339, '00': 315, '11': 188, '10': 182}
Counts for pub 1967: {'01': 403, '10': 40, '11': 535, '00': 46}
Counts for pub 1968: {'00': 930, '11': 37, '01': 45, '10': 12}
Counts for pub 1969: {'01': 214, '11': 363, '00': 289, '10': 158}
Counts for pub 1970: {'00': 667, '10': 120, '01': 196, '11': 41}
Counts for pub 1971: {'10': 240, '00': 427, '01': 204, '11': 153}
Counts for pub 1972: {'00': 478, '10': 280, '01': 125, '11': 141}
Counts for pub 1973: {'01': 573, '11': 182, '10': 153, '00': 116}
Counts for pub 1974: {'00': 274, '11': 505, '10': 122, '01': 123}
Counts for pub 1975: {'10': 554, '11': 334, '01': 81, '00': 55}
Counts for pub 1976: {'11': 284, '00': 485, '01': 111, '10': 144}
Counts for pub 1977: {'10': 634, '00': 151, '11': 189, '01': 50}
Counts for pub 1978: {'10': 345, '11': 266, '00': 229, '01': 184}
Counts for pub 1979: {'00': 765, '11': 141, '10': 30, '01': 88}
Counts for pub 1980: {'01': 338, '10': 204, '11': 215, '00': 267}
Counts for pub 1981: {'10': 308, '01': 128, '00': 523, '11': 65}
Counts for pub 1982: {'10': 104, '01': 117, '11': 661, '00': 142}
Counts for pub 1983: {'00': 180, '11': 336, '01': 361, '10': 147}
Counts for pub 1984: {'00': 730, '11': 157, '01': 116, '10': 21}
Counts for pub 1985: {'00': 168, '01': 419, '10': 237, '11': 200}
Counts for pub 1986: {'00': 933, '01': 41, '11': 37, '10': 13}
Counts for pub 1987: {'01': 72, '11': 551, '10': 352, '00': 49}
Counts for pub 1988: {'00': 495, '11': 138, '10': 294, '01': 97}
Counts for pub 1989: {'11': 134, '00': 504, '10': 275, '01': 111}
Counts for pub 1990: {'00': 933, '11': 34, '10': 14, '01': 43}
Counts for pub 1991: {'11': 237, '01': 262, '10': 300, '00': 225}
Counts for pub 1992: {'01': 476, '11': 111, '10': 219, '00': 218}
Counts for pub 1993: {'00': 249, '01': 94, '10': 137, '11': 544}
Counts for pub 1994: {'10': 70, '11': 240, '00': 560, '01': 154}
Counts for pub 1995: {'00': 201, '10': 326, '01': 213, '11': 284}
Counts for pub 1996: {'11': 130, '00': 201, '10': 490, '01': 203}
Counts for pub 1997: {'00': 692, '11': 108, '10': 125, '01': 99}
Counts for pub 1998: {'11': 206, '01': 271, '00': 292, '10': 255}
Counts for pub 1999: {'00': 422, '10': 245, '01': 199, '11': 158}
Counts for pub 2000: {'11': 582, '01': 317, '10': 55, '00': 70}
Counts for pub 2001: {'11': 753, '01': 130, '10': 103, '00': 38}
Counts for pub 2002: {'10': 103, '11': 769, '00': 24, '01': 128}
Counts for pub 2003: {'11': 541, '01': 436, '00': 24, '10': 23}
Counts for pub 2004: {'10': 426, '01': 385, '11': 103, '00': 110}
Counts for pub 2005: {'10': 156, '01': 305, '00': 199, '11': 364}
Counts for pub 2006: {'10': 170, '01': 292, '11': 366, '00': 196}
Counts for pub 2007: {'00': 522, '01': 432, '10': 33, '11': 37}
Counts for pub 2008: {'11': 372, '10': 185, '01': 299, '00': 168}
Counts for pub 2009: {'10': 924, '01': 36, '00': 44, '11': 20}
Counts for pub 2010: {'01': 435, '00': 42, '11': 504, '10': 43}
Counts for pub 2011: {'01': 424, '11': 495, '10': 58, '00': 47}
Counts for pub 2012: {'11': 220, '01': 232, '00': 341, '10': 231}
Counts for pub 2013: {'10': 594, '01': 205, '00': 165, '11': 60}
Counts for pub 2014: {'00': 561, '10': 96, '11': 156, '01': 211}
Counts for pub 2015: {'11': 529, '01': 437, '00': 27, '10': 31}
Counts for pub 2016: {'01': 431, '11': 497, '10': 44, '00': 52}
Counts for pub 2017: {'10': 211, '01': 308, '11': 175, '00': 330}
Counts for pub 2018: {'00': 591, '11': 319, '01': 78, '10': 36}
Counts for pub 2019: {'11': 218, '10': 130, '00': 128, '01': 548}
Counts for pub 2020: {'10': 76, '00': 279, '01': 522, '11': 147}
Counts for pub 2021: {'01': 571, '11': 298, '00': 106, '10': 49}
Counts for pub 2022: {'10': 152, '01': 200, '11': 478, '00': 194}
Counts for pub 2023: {'01': 633, '11': 360, '10': 12, '00': 19}
Counts for pub 2024: {'10': 201, '01': 471, '11': 130, '00': 222}
Counts for pub 2025: {'00': 1010, '10': 11, '01': 3}
Counts for pub 2026: {'11': 577, '01': 326, '10': 59, '00': 62}
Counts for pub 2027: {'00': 1014, '10': 6, '01': 4}
Counts for pub 2028: {'11': 625, '01': 392, '10': 2, '00': 5}
Counts for pub 2029: {'11': 376, '01': 291, '10': 175, '00': 182}
Counts for pub 2030: {'10': 188, '11': 420, '00': 214, '01': 202}
Counts for pub 2031: {'00': 88, '11': 758, '01': 120, '10': 58}
Counts for pub 2032: {'10': 355, '11': 582, '00': 51, '01': 36}
Counts for pub 2033: {'00': 430, '01': 122, '10': 362, '11': 110}
Counts for pub 2034: {'11': 541, '01': 424, '00': 32, '10': 27}
Counts for pub 2035: {'11': 115, '00': 256, '01': 444, '10': 209}
Counts for pub 2036: {'01': 279, '00': 263, '11': 234, '10': 248}
Counts for pub 2037: {'00': 134, '10': 226, '01': 474, '11': 190}
Counts for pub 2038: {'11': 566, '10': 49, '01': 330, '00': 79}
Counts for pub 2039: {'01': 275, '10': 631, '11': 60, '00': 58}
Counts for pub 2040: {'11': 771, '10': 56, '00': 94, '01': 103}
Counts for pub 2041: {'11': 580, '01': 304, '00': 82, '10': 58}
Counts for pub 2042: {'11': 391, '01': 280, '10': 161, '00': 192}
Counts for pub 2043: {'00': 319, '11': 33, '01': 658, '10': 14}
Counts for pub 2044: {'10': 325, '11': 150, '00': 355, '01': 194}
Counts for pub 2045: {'00': 82, '11': 592, '01': 306, '10': 44}
Counts for pub 2046: {'11': 343, '01': 605, '10': 28, '00': 48}
Counts for pub 2047: {'01': 197, '00': 417, '10': 268, '11': 142}
Counts for pub 2048: {'11': 95, '01': 470, '00': 348, '10': 111}
Counts for pub 2049: {'10': 368, '00': 450, '01': 102, '11': 104}
Counts for pub 2050: {'11': 186, '00': 442, '10': 205, '01': 191}
Counts for pub 2051: {'01': 429, '11': 533, '00': 27, '10': 35}
Counts for pub 2052: {'00': 376, '10': 324, '01': 162, '11': 162}
Counts for pub 2053: {'00': 270, '01': 394, '11': 212, '10': 148}
Counts for pub 2054: {'00': 513, '01': 358, '10': 69, '11': 84}
Counts for pub 2055: {'00': 638, '11': 306, '10': 43, '01': 37}
Counts for pub 2056: {'10': 73, '11': 304, '01': 548, '00': 99}
Counts for pub 2057: {'11': 679, '00': 224, '10': 50, '01': 71}
Counts for pub 2058: {'11': 302, '00': 226, '01': 276, '10': 220}
Counts for pub 2059: {'00': 564, '01': 388, '11': 32, '10': 40}
Counts for pub 2060: {'01': 368, '11': 477, '10': 99, '00': 80}
Counts for pub 2061: {'01': 304, '11': 361, '00': 187, '10': 172}
Counts for pub 2062: {'10': 634, '00': 261, '11': 79, '01': 50}
Counts for pub 2063: {'10': 259, '01': 189, '00': 344, '11': 232}
Counts for pub 2064: {'00': 537, '01': 401, '10': 44, '11': 42}
Counts for pub 2065: {'11': 736, '00': 98, '01': 143, '10': 47}
Counts for pub 2066: {'01': 495, '11': 91, '10': 92, '00': 346}
Counts for pub 2067: {'01': 156, '11': 562, '00': 185, '10': 121}
Counts for pub 2068: {'10': 313, '11': 168, '00': 387, '01': 156}
Counts for pub 2069: {'11': 176, '10': 324, '00': 373, '01': 151}
Counts for pub 2070: {'10': 415, '01': 379, '00': 120, '11': 110}
Counts for pub 2071: {'11': 321, '10': 403, '01': 124, '00': 176}
Counts for pub 2072: {'00': 1007, '10': 10, '01': 7}
Counts for pub 2073: {'10': 765, '00': 222, '11': 28, '01': 9}
Counts for pub 2074: {'10': 799, '00': 42, '01': 144, '11': 39}
Counts for pub 2075: {'00': 810, '01': 48, '11': 84, '10': 82}
Counts for pub 2076: {'10': 94, '11': 784, '01': 130, '00': 16}
Counts for pub 2077: {'01': 833, '00': 90, '10': 52, '11': 49}
Counts for pub 2078: {'11': 577, '00': 77, '01': 311, '10': 59}
Counts for pub 2079: {'01': 419, '11': 548, '10': 31, '00': 26}
Counts for pub 2080: {'00': 1011, '01': 8, '10': 5}
Counts for pub 2081: {'10': 462, '00': 229, '11': 150, '01': 183}
Counts for pub 2082: {'00': 752, '10': 88, '11': 123, '01': 61}
Counts for pub 2083: {'00': 735, '11': 233, '01': 28, '10': 28}
Counts for pub 2084: {'00': 141, '11': 402, '01': 363, '10': 118}
Counts for pub 2085: {'11': 625, '00': 353, '01': 21, '10': 25}
Counts for pub 2086: {'11': 622, '00': 360, '10': 22, '01': 20}
Counts for pub 2087: {'01': 262, '00': 269, '10': 248, '11': 245}
Counts for pub 2088: {'00': 358, '11': 622, '01': 15, '10': 29}
Counts for pub 2089: {'11': 484, '01': 463, '00': 34, '10': 43}
Counts for pub 2090: {'00': 894, '01': 102, '11': 10, '10': 18}
Counts for pub 2091: {'00': 918, '10': 13, '01': 86, '11': 7}
Counts for pub 2092: {'10': 299, '11': 618, '01': 25, '00': 82}
Counts for pub 2093: {'11': 729, '01': 210, '00': 47, '10': 38}
Counts for pub 2094: {'10': 297, '11': 523, '01': 117, '00': 87}
Counts for pub 2095: {'00': 751, '10': 19, '11': 208, '01': 46}
Counts for pub 2096: {'00': 913, '10': 13, '01': 88, '11': 10}
Counts for pub 2097: {'00': 286, '01': 475, '11': 104, '10': 159}
Counts for pub 2098: {'10': 150, '01': 277, '11': 501, '00': 96}
Counts for pub 2099: {'00': 697, '10': 98, '01': 191, '11': 38}
Counts for pub 2100: {'01': 189, '10': 171, '00': 587, '11': 77}
Counts for pub 2101: {'00': 781, '01': 83, '10': 86, '11': 74}
Counts for pub 2102: {'11': 407, '01': 133, '10': 123, '00': 361}
Counts for pub 2103: {'00': 838, '11': 76, '10': 86, '01': 24}
Counts for pub 2104: {'10': 209, '00': 238, '11': 306, '01': 271}
Counts for pub 2105: {'11': 586, '01': 318, '10': 46, '00': 74}
Counts for pub 2106: {'00': 1014, '10': 6, '01': 4}
Counts for pub 2107: {'10': 56, '11': 594, '01': 311, '00': 63}
Counts for pub 2108: {'00': 867, '11': 104, '01': 43, '10': 10}
Counts for pub 2109: {'00': 353, '10': 27, '11': 626, '01': 18}
Counts for pub 2110: {'00': 234, '01': 155, '10': 212, '11': 423}
Counts for pub 2111: {'10': 78, '00': 929, '01': 15, '11': 2}
Counts for pub 2112: {'01': 260, '00': 283, '11': 241, '10': 240}
Counts for pub 2113: {'11': 841, '00': 35, '01': 24, '10': 124}
Counts for pub 2114: {'00': 743, '11': 228, '01': 34, '10': 19}
Counts for pub 2115: {'00': 226, '11': 313, '01': 255, '10': 230}
Counts for pub 2116: {'10': 119, '00': 476, '01': 264, '11': 165}
Counts for pub 2117: {'00': 731, '10': 115, '01': 90, '11': 88}
Counts for pub 2118: {'00': 1013, '10': 9, '01': 2}
Counts for pub 2119: {'01': 419, '11': 503, '00': 55, '10': 47}
Counts for pub 2120: {'00': 905, '10': 97, '01': 21, '11': 1}
Counts for pub 2121: {'00': 1011, '10': 11, '01': 2}
Counts for pub 2122: {'11': 618, '00': 360, '01': 22, '10': 24}
Counts for pub 2123: {'11': 153, '10': 635, '00': 159, '01': 77}
Counts for pub 2124: {'11': 490, '10': 375, '01': 66, '00': 93}
Counts for pub 2125: {'00': 1013, '01': 5, '10': 6}
Counts for pub 2126: {'00': 710, '01': 114, '10': 92, '11': 108}
Counts for pub 2127: {'11': 514, '00': 283, '01': 71, '10': 156}
Counts for pub 2128: {'00': 306, '01': 223, '10': 251, '11': 244}
Counts for pub 2129: {'11': 839, '10': 132, '01': 13, '00': 40}
Counts for pub 2130: {'01': 282, '10': 311, '00': 218, '11': 213}
Counts for pub 2131: {'00': 755, '10': 32, '11': 211, '01': 26}
Counts for pub 2132: {'11': 901, '00': 41, '10': 64, '01': 18}
Counts for pub 2133: {'00': 381, '10': 130, '01': 408, '11': 105}
Counts for pub 2134: {'10': 435, '01': 102, '11': 382, '00': 105}
Counts for pub 2135: {'00': 73, '11': 403, '01': 483, '10': 65}
Counts for pub 2136: {'00': 815, '10': 77, '11': 63, '01': 69}
Counts for pub 2137: {'00': 400, '11': 470, '10': 72, '01': 82}
Counts for pub 2138: {'01': 152, '00': 732, '11': 104, '10': 36}
Counts for pub 2139: {'10': 251, '00': 264, '11': 251, '01': 258}
Counts for pub 2140: {'10': 915, '11': 62, '00': 37, '01': 10}
Counts for pub 2141: {'11': 615, '00': 364, '01': 24, '10': 21}
Counts for pub 2142: {'00': 189, '10': 57, '11': 667, '01': 111}
Counts for pub 2143: {'10': 345, '00': 56, '11': 582, '01': 41}
Counts for pub 2144: {'01': 269, '00': 268, '11': 277, '10': 210}
Counts for pub 2145: {'00': 911, '10': 90, '01': 16, '11': 7}
Counts for pub 2146: {'11': 235, '10': 259, '00': 291, '01': 239}
Counts for pub 2147: {'01': 309, '11': 178, '00': 153, '10': 384}
Counts for pub 2148: {'11': 890, '10': 58, '00': 52, '01': 24}
Counts for pub 2149: {'11': 901, '01': 21, '10': 58, '00': 44}
Counts for pub 2150: {'10': 116, '01': 333, '11': 421, '00': 154}
Counts for pub 2151: {'01': 448, '00': 538, '11': 21, '10': 17}
Counts for pub 2152: {'01': 330, '11': 560, '00': 78, '10': 56}
Counts for pub 2153: {'11': 720, '10': 39, '01': 187, '00': 78}
Counts for pub 2154: {'11': 552, '01': 443, '00': 12, '10': 17}
Counts for pub 2155: {'11': 777, '00': 23, '01': 130, '10': 94}
Counts for pub 2156: {'00': 765, '01': 59, '11': 133, '10': 67}
Counts for pub 2157: {'11': 88, '10': 570, '00': 160, '01': 206}
Counts for pub 2158: {'11': 297, '00': 620, '01': 69, '10': 38}
Counts for pub 2159: {'00': 758, '11': 207, '01': 33, '10': 26}
Counts for pub 2160: {'01': 344, '11': 553, '10': 61, '00': 66}
Counts for pub 2161: {'11': 754, '10': 106, '01': 118, '00': 46}
Counts for pub 2162: {'11': 793, '01': 115, '10': 94, '00': 22}
Counts for pub 2163: {'11': 521, '01': 443, '10': 23, '00': 37}
Counts for pub 2164: {'10': 443, '01': 373, '00': 113, '11': 95}
Counts for pub 2165: {'00': 194, '10': 177, '01': 279, '11': 374}
Counts for pub 2166: {'01': 288, '00': 197, '10': 149, '11': 390}
Counts for pub 2167: {'01': 409, '00': 550, '11': 33, '10': 32}
Counts for pub 2168: {'11': 368, '01': 326, '00': 184, '10': 146}
Counts for pub 2169: {'10': 922, '01': 43, '00': 34, '11': 25}
Counts for pub 2170: {'00': 47, '01': 440, '11': 480, '10': 57}
Counts for pub 2171: {'01': 393, '11': 513, '10': 50, '00': 68}
Counts for pub 2172: {'11': 222, '10': 245, '01': 198, '00': 359}
Counts for pub 2173: {'10': 604, '01': 175, '00': 190, '11': 55}
Counts for pub 2174: {'00': 576, '11': 166, '01': 203, '10': 79}
Counts for pub 2175: {'11': 522, '01': 444, '10': 28, '00': 30}
Counts for pub 2176: {'01': 413, '00': 51, '11': 511, '10': 49}
Counts for pub 2177: {'11': 180, '00': 335, '01': 302, '10': 207}
Counts for pub 2178: {'00': 606, '11': 316, '10': 36, '01': 66}
Counts for pub 2179: {'01': 588, '11': 210, '10': 131, '00': 95}
Counts for pub 2180: {'00': 266, '11': 142, '01': 520, '10': 96}
Counts for pub 2181: {'10': 42, '00': 104, '11': 323, '01': 555}
Counts for pub 2182: {'11': 490, '00': 178, '10': 154, '01': 202}
Counts for pub 2183: {'01': 624, '10': 12, '11': 370, '00': 18}
Counts for pub 2184: {'01': 461, '11': 129, '00': 214, '10': 220}
Counts for pub 2185: {'00': 1011, '10': 5, '01': 8}
Counts for pub 2186: {'11': 556, '01': 343, '10': 54, '00': 71}
Counts for pub 2187: {'00': 1012, '10': 8, '01': 4}
Counts for pub 2188: {'01': 378, '11': 633, '00': 1, '10': 12}
Counts for pub 2189: {'11': 363, '10': 163, '01': 293, '00': 205}
Counts for pub 2190: {'00': 216, '11': 386, '10': 190, '01': 232}
Counts for pub 2191: {'11': 763, '00': 91, '01': 119, '10': 51}
Counts for pub 2192: {'11': 597, '10': 332, '00': 64, '01': 31}
Counts for pub 2193: {'10': 356, '00': 423, '11': 122, '01': 123}
Counts for pub 2194: {'11': 497, '01': 469, '00': 33, '10': 25}
Counts for pub 2195: {'10': 229, '11': 125, '01': 448, '00': 222}
Counts for pub 2196: {'00': 239, '10': 256, '01': 279, '11': 250}
Counts for pub 2197: {'00': 107, '01': 484, '10': 241, '11': 192}
Counts for pub 2198: {'11': 594, '10': 43, '01': 333, '00': 54}
Counts for pub 2199: {'10': 653, '01': 266, '00': 53, '11': 52}
Counts for pub 2200: {'11': 770, '01': 123, '10': 54, '00': 77}
Counts for pub 2201: {'11': 597, '01': 313, '00': 64, '10': 50}
Counts for pub 2202: {'11': 389, '10': 164, '01': 289, '00': 182}
Counts for pub 2203: {'01': 671, '00': 302, '10': 19, '11': 32}
Counts for pub 2204: {'01': 174, '00': 382, '10': 318, '11': 150}
